areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,23/03/2020,2328,12637
overview,United Kingdom,K02000001,24/03/2020,2379,15016
overview,United Kingdom,K02000001,25/03/2020,2691,17707
overview,United Kingdom,K02000001,26/03/2020,3091,20798
overview,United Kingdom,K02000001,27/03/2020,3190,23988
overview,United Kingdom,K02000001,28/03/2020,2817,26805
overview,United Kingdom,K02000001,29/03/2020,2858,29663
overview,United Kingdom,K02000001,30/03/2020,4265,33928
overview,United Kingdom,K02000001,31/03/2020,4510,38438
overview,United Kingdom,K02000001,01/04/2020,4941,43379
overview,United Kingdom,K02000001,02/04/2020,4861,48240
overview,United Kingdom,K02000001,03/04/2020,4888,53128
overview,United Kingdom,K02000001,04/04/2020,4003,57131
overview,United Kingdom,K02000001,05/04/2020,3586,60717
overview,United Kingdom,K02000001,06/04/2020,5274,65991
overview,United Kingdom,K02000001,07/04/2020,5442,71433
overview,United Kingdom,K02000001,08/04/2020,5116,76549
overview,United Kingdom,K02000001,09/04/2020,4855,81404
overview,United Kingdom,K02000001,10/04/2020,4312,85716
overview,United Kingdom,K02000001,11/04/2020,3560,89276
overview,United Kingdom,K02000001,12/04/2020,3485,92761
overview,United Kingdom,K02000001,13/04/2020,4174,96935
overview,United Kingdom,K02000001,14/04/2020,4306,101241
overview,United Kingdom,K02000001,15/04/2020,5044,106285
overview,United Kingdom,K02000001,16/04/2020,5269,111554
overview,United Kingdom,K02000001,17/04/2020,4941,116495
overview,United Kingdom,K02000001,18/04/2020,4714,121209
overview,United Kingdom,K02000001,19/04/2020,3858,125067
overview,United Kingdom,K02000001,20/04/2020,4848,129915
overview,United Kingdom,K02000001,21/04/2020,4765,134680
overview,United Kingdom,K02000001,22/04/2020,5494,140174
overview,United Kingdom,K02000001,23/04/2020,5144,145318
overview,United Kingdom,K02000001,24/04/2020,4951,150269
overview,United Kingdom,K02000001,25/04/2020,3744,154013
overview,United Kingdom,K02000001,26/04/2020,3473,157486
overview,United Kingdom,K02000001,27/04/2020,4703,162189
overview,United Kingdom,K02000001,28/04/2020,4722,166911
overview,United Kingdom,K02000001,29/04/2020,5425,172336
overview,United Kingdom,K02000001,30/04/2020,4958,177294
overview,United Kingdom,K02000001,01/05/2020,4734,182028
overview,United Kingdom,K02000001,02/05/2020,3231,185259
overview,United Kingdom,K02000001,03/05/2020,2977,188236
overview,United Kingdom,K02000001,04/05/2020,3382,191618
overview,United Kingdom,K02000001,05/05/2020,3674,195292
overview,United Kingdom,K02000001,06/05/2020,3822,199114
overview,United Kingdom,K02000001,07/05/2020,3763,202877
overview,United Kingdom,K02000001,08/05/2020,3059,205936
overview,United Kingdom,K02000001,09/05/2020,2161,208097
overview,United Kingdom,K02000001,10/05/2020,2323,210420
overview,United Kingdom,K02000001,11/05/2020,3575,213995
overview,United Kingdom,K02000001,12/05/2020,3392,217387
overview,United Kingdom,K02000001,13/05/2020,3307,220694
overview,United Kingdom,K02000001,14/05/2020,2629,223323
overview,United Kingdom,K02000001,15/05/2020,2531,225854
overview,United Kingdom,K02000001,16/05/2020,2082,227936
overview,United Kingdom,K02000001,17/05/2020,1835,229771
overview,United Kingdom,K02000001,18/05/2020,2587,232358
overview,United Kingdom,K02000001,19/05/2020,3055,235413
overview,United Kingdom,K02000001,20/05/2020,2707,238120
overview,United Kingdom,K02000001,21/05/2020,2573,240693
overview,United Kingdom,K02000001,22/05/2020,2056,242749
overview,United Kingdom,K02000001,23/05/2020,1528,244277
overview,United Kingdom,K02000001,24/05/2020,1364,245641
overview,United Kingdom,K02000001,25/05/2020,1620,247261
overview,United Kingdom,K02000001,26/05/2020,1659,248920
overview,United Kingdom,K02000001,27/05/2020,1830,250750
overview,United Kingdom,K02000001,28/05/2020,1759,252509
overview,United Kingdom,K02000001,29/05/2020,1526,254035
overview,United Kingdom,K02000001,30/05/2020,1120,255155
overview,United Kingdom,K02000001,31/05/2020,1082,256237
overview,United Kingdom,K02000001,01/06/2020,1435,257672
overview,United Kingdom,K02000001,02/06/2020,1487,259159
overview,United Kingdom,K02000001,03/06/2020,1361,260520
overview,United Kingdom,K02000001,04/06/2020,1252,261772
overview,United Kingdom,K02000001,05/06/2020,1123,262895
overview,United Kingdom,K02000001,06/06/2020,806,263701
overview,United Kingdom,K02000001,07/06/2020,719,264420
overview,United Kingdom,K02000001,08/06/2020,1093,265513
overview,United Kingdom,K02000001,09/06/2020,1158,266671
overview,United Kingdom,K02000001,10/06/2020,1195,267866
overview,United Kingdom,K02000001,11/06/2020,1014,268880
overview,United Kingdom,K02000001,12/06/2020,1055,269935
overview,United Kingdom,K02000001,13/06/2020,887,270822
overview,United Kingdom,K02000001,14/06/2020,820,271642
overview,United Kingdom,K02000001,15/06/2020,1047,272689
overview,United Kingdom,K02000001,16/06/2020,1103,273792
