areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,23/03/2020,186,938
overview,United Kingdom,K02000001,24/03/2020,237,1175
overview,United Kingdom,K02000001,25/03/2020,303,1478
overview,United Kingdom,K02000001,26/03/2020,361,1839
overview,United Kingdom,K02000001,27/03/2020,398,2237
overview,United Kingdom,K02000001,28/03/2020,436,2673
overview,United Kingdom,K02000001,29/03/2020,507,3180
overview,United Kingdom,K02000001,30/03/2020,590,3770
overview,United Kingdom,K02000001,31/03/2020,660,4430
overview,United Kingdom,K02000001,01/04/2020,770,5200
overview,United Kingdom,K02000001,02/04/2020,805,6005
overview,United Kingdom,K02000001,03/04/2020,840,6845
overview,United Kingdom,K02000001,04/04/2020,906,7751
overview,United Kingdom,K02000001,05/04/2020,917,8668
overview,United Kingdom,K02000001,06/04/2020,893,9561
overview,United Kingdom,K02000001,07/04/2020,1002,10563
overview,United Kingdom,K02000001,08/04/2020,1073,11636
overview,United Kingdom,K02000001,09/04/2020,1000,12636
overview,United Kingdom,K02000001,10/04/2020,944,13580
overview,United Kingdom,K02000001,11/04/2020,955,14535
overview,United Kingdom,K02000001,12/04/2020,958,15493
overview,United Kingdom,K02000001,13/04/2020,895,16388
overview,United Kingdom,K02000001,14/04/2020,859,17247
overview,United Kingdom,K02000001,15/04/2020,881,18128
overview,United Kingdom,K02000001,16/04/2020,842,18970
overview,United Kingdom,K02000001,17/04/2020,819,19789
overview,United Kingdom,K02000001,18/04/2020,800,20589
overview,United Kingdom,K02000001,19/04/2020,768,21357
overview,United Kingdom,K02000001,20/04/2020,783,22140
overview,United Kingdom,K02000001,21/04/2020,744,22884
overview,United Kingdom,K02000001,22/04/2020,731,23615
overview,United Kingdom,K02000001,23/04/2020,676,24291
overview,United Kingdom,K02000001,24/04/2020,683,24974
overview,United Kingdom,K02000001,25/04/2020,648,25622
overview,United Kingdom,K02000001,26/04/2020,633,26255
overview,United Kingdom,K02000001,27/04/2020,595,26850
overview,United Kingdom,K02000001,28/04/2020,560,27410
overview,United Kingdom,K02000001,29/04/2020,571,27981
overview,United Kingdom,K02000001,30/04/2020,551,28532
overview,United Kingdom,K02000001,01/05/2020,568,29100
overview,United Kingdom,K02000001,02/05/2020,494,29594
overview,United Kingdom,K02000001,03/05/2020,449,30043
overview,United Kingdom,K02000001,04/05/2020,484,30527
overview,United Kingdom,K02000001,05/05/2020,464,30991
overview,United Kingdom,K02000001,06/05/2020,461,31452
overview,United Kingdom,K02000001,07/05/2020,461,31913
overview,United Kingdom,K02000001,08/05/2020,383,32296
overview,United Kingdom,K02000001,09/05/2020,378,32674
overview,United Kingdom,K02000001,10/05/2020,348,33022
overview,United Kingdom,K02000001,11/05/2020,309,33331
overview,United Kingdom,K02000001,12/05/2020,321,33652
overview,United Kingdom,K02000001,13/05/2020,317,33969
overview,United Kingdom,K02000001,14/05/2020,334,34303
overview,United Kingdom,K02000001,15/05/2020,314,34617
overview,United Kingdom,K02000001,16/05/2020,314,34931
overview,United Kingdom,K02000001,17/05/2020,267,35198
overview,United Kingdom,K02000001,18/05/2020,293,35491
overview,United Kingdom,K02000001,19/05/2020,275,35766
overview,United Kingdom,K02000001,20/05/2020,268,36034
overview,United Kingdom,K02000001,21/05/2020,238,36272
overview,United Kingdom,K02000001,22/05/2020,223,36495
overview,United Kingdom,K02000001,23/05/2020,220,36715
overview,United Kingdom,K02000001,24/05/2020,196,36911
overview,United Kingdom,K02000001,25/05/2020,201,37112
overview,United Kingdom,K02000001,26/05/2020,213,37325
overview,United Kingdom,K02000001,27/05/2020,197,37522
overview,United Kingdom,K02000001,28/05/2020,217,37739
overview,United Kingdom,K02000001,29/05/2020,186,37925
overview,United Kingdom,K02000001,30/05/2020,163,38088
overview,United Kingdom,K02000001,31/05/2020,126,38214
overview,United Kingdom,K02000001,01/06/2020,135,38349
overview,United Kingdom,K02000001,02/06/2020,169,38518
overview,United Kingdom,K02000001,03/06/2020,155,38673
overview,United Kingdom,K02000001,04/06/2020,135,38808
overview,United Kingdom,K02000001,05/06/2020,123,38931
overview,United Kingdom,K02000001,06/06/2020,111,39042
overview,United Kingdom,K02000001,07/06/2020,127,39169
overview,United Kingdom,K02000001,08/06/2020,124,39293
overview,United Kingdom,K02000001,09/06/2020,90,39383
overview,United Kingdom,K02000001,10/06/2020,109,39492
overview,United Kingdom,K02000001,11/06/2020,80,39572
overview,United Kingdom,K02000001,12/06/2020,80,39652
overview,United Kingdom,K02000001,13/06/2020,63,39715
overview,United Kingdom,K02000001,14/06/2020,86,39801
overview,United Kingdom,K02000001,15/06/2020,70,39871
overview,United Kingdom,K02000001,16/06/2020,84,39955
overview,United Kingdom,K02000001,17/06/2020,58,40013
overview,United Kingdom,K02000001,18/06/2020,61,40074
overview,United Kingdom,K02000001,19/06/2020,52,40126
overview,United Kingdom,K02000001,20/06/2020,60,40186
overview,United Kingdom,K02000001,21/06/2020,54,40240
overview,United Kingdom,K02000001,22/06/2020,64,40304
overview,United Kingdom,K02000001,23/06/2020,64,40368
overview,United Kingdom,K02000001,24/06/2020,75,40443
overview,United Kingdom,K02000001,25/06/2020,68,40511
overview,United Kingdom,K02000001,26/06/2020,41,40552
overview,United Kingdom,K02000001,27/06/2020,49,40601
overview,United Kingdom,K02000001,28/06/2020,45,40646
overview,United Kingdom,K02000001,29/06/2020,39,40685
overview,United Kingdom,K02000001,30/06/2020,47,40732
overview,United Kingdom,K02000001,01/07/2020,27,40759
overview,United Kingdom,K02000001,02/07/2020,43,40802
overview,United Kingdom,K02000001,03/07/2020,29,40831
overview,United Kingdom,K02000001,04/07/2020,33,40864
overview,United Kingdom,K02000001,05/07/2020,27,40891
overview,United Kingdom,K02000001,06/07/2020,35,40926
overview,United Kingdom,K02000001,07/07/2020,27,40953
overview,United Kingdom,K02000001,08/07/2020,24,40977
overview,United Kingdom,K02000001,09/07/2020,37,41014
overview,United Kingdom,K02000001,10/07/2020,21,41035
overview,United Kingdom,K02000001,11/07/2020,21,41056
overview,United Kingdom,K02000001,12/07/2020,13,41069
overview,United Kingdom,K02000001,13/07/2020,24,41093
overview,United Kingdom,K02000001,14/07/2020,21,41114
overview,United Kingdom,K02000001,15/07/2020,20,41134
overview,United Kingdom,K02000001,16/07/2020,13,41147
overview,United Kingdom,K02000001,17/07/2020,18,41165
overview,United Kingdom,K02000001,18/07/2020,14,41179
overview,United Kingdom,K02000001,19/07/2020,14,41193
overview,United Kingdom,K02000001,20/07/2020,12,41205
overview,United Kingdom,K02000001,21/07/2020,20,41225
overview,United Kingdom,K02000001,22/07/2020,17,41242
overview,United Kingdom,K02000001,23/07/2020,16,41258
overview,United Kingdom,K02000001,24/07/2020,7,41265
overview,United Kingdom,K02000001,25/07/2020,16,41281
overview,United Kingdom,K02000001,26/07/2020,16,41297
overview,United Kingdom,K02000001,27/07/2020,11,41308
overview,United Kingdom,K02000001,28/07/2020,12,41320
overview,United Kingdom,K02000001,29/07/2020,12,41332
overview,United Kingdom,K02000001,30/07/2020,10,41342
overview,United Kingdom,K02000001,31/07/2020,14,41356
overview,United Kingdom,K02000001,01/08/2020,11,41367
overview,United Kingdom,K02000001,02/08/2020,10,41377
overview,United Kingdom,K02000001,03/08/2020,15,41392
overview,United Kingdom,K02000001,04/08/2020,14,41406
overview,United Kingdom,K02000001,05/08/2020,6,41412
overview,United Kingdom,K02000001,06/08/2020,9,41421
overview,United Kingdom,K02000001,07/08/2020,12,41433
overview,United Kingdom,K02000001,08/08/2020,14,41447
overview,United Kingdom,K02000001,09/08/2020,8,41455
overview,United Kingdom,K02000001,10/08/2020,13,41468
overview,United Kingdom,K02000001,11/08/2020,10,41478
overview,United Kingdom,K02000001,12/08/2020,7,41485
overview,United Kingdom,K02000001,13/08/2020,9,41494
overview,United Kingdom,K02000001,14/08/2020,7,41501
overview,United Kingdom,K02000001,15/08/2020,12,41513
overview,United Kingdom,K02000001,16/08/2020,4,41517
overview,United Kingdom,K02000001,17/08/2020,12,41529
overview,United Kingdom,K02000001,18/08/2020,9,41538
overview,United Kingdom,K02000001,19/08/2020,3,41541
overview,United Kingdom,K02000001,20/08/2020,8,41549
overview,United Kingdom,K02000001,21/08/2020,7,41556
overview,United Kingdom,K02000001,22/08/2020,8,41564
overview,United Kingdom,K02000001,23/08/2020,14,41578
overview,United Kingdom,K02000001,24/08/2020,6,41584
overview,United Kingdom,K02000001,25/08/2020,12,41596
overview,United Kingdom,K02000001,26/08/2020,11,41607
