areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
overview,United Kingdom,K02000001,23/03/2020,1273,4875
overview,United Kingdom,K02000001,24/03/2020,1720,6595
overview,United Kingdom,K02000001,25/03/2020,2085,8680
overview,United Kingdom,K02000001,26/03/2020,1929,10609
overview,United Kingdom,K02000001,27/03/2020,2227,12836
overview,United Kingdom,K02000001,28/03/2020,2191,15027
overview,United Kingdom,K02000001,29/03/2020,2489,17516
overview,United Kingdom,K02000001,30/03/2020,3190,20706
overview,United Kingdom,K02000001,31/03/2020,2832,23538
overview,United Kingdom,K02000001,01/04/2020,3565,27103
overview,United Kingdom,K02000001,02/04/2020,3284,30387
overview,United Kingdom,K02000001,03/04/2020,2930,33317
overview,United Kingdom,K02000001,04/04/2020,2921,36238
overview,United Kingdom,K02000001,05/04/2020,2916,39154
overview,United Kingdom,K02000001,06/04/2020,3046,42200
overview,United Kingdom,K02000001,07/04/2020,3150,45350
overview,United Kingdom,K02000001,08/04/2020,2967,48317
overview,United Kingdom,K02000001,09/04/2020,2629,50946
overview,United Kingdom,K02000001,10/04/2020,2463,53409
overview,United Kingdom,K02000001,11/04/2020,2162,55571
overview,United Kingdom,K02000001,12/04/2020,2066,57637
overview,United Kingdom,K02000001,13/04/2020,2160,59797
overview,United Kingdom,K02000001,14/04/2020,2088,61885
overview,United Kingdom,K02000001,15/04/2020,1880,63765
overview,United Kingdom,K02000001,16/04/2020,2012,65777
overview,United Kingdom,K02000001,17/04/2020,1966,67743
overview,United Kingdom,K02000001,18/04/2020,1629,69372
overview,United Kingdom,K02000001,19/04/2020,1657,71029
overview,United Kingdom,K02000001,20/04/2020,1737,72766
overview,United Kingdom,K02000001,21/04/2020,1713,74479
overview,United Kingdom,K02000001,22/04/2020,1527,76006
overview,United Kingdom,K02000001,23/04/2020,1513,77519
overview,United Kingdom,K02000001,24/04/2020,1525,79044
overview,United Kingdom,K02000001,25/04/2020,1255,80299
overview,United Kingdom,K02000001,26/04/2020,1355,81654
overview,United Kingdom,K02000001,27/04/2020,1538,83192
overview,United Kingdom,K02000001,28/04/2020,1517,84709
overview,United Kingdom,K02000001,29/04/2020,1489,86198
overview,United Kingdom,K02000001,30/04/2020,1443,87641
overview,United Kingdom,K02000001,01/05/2020,1262,88903
overview,United Kingdom,K02000001,02/05/2020,1180,90083
overview,United Kingdom,K02000001,03/05/2020,1188,91271
overview,United Kingdom,K02000001,04/05/2020,1250,92521
overview,United Kingdom,K02000001,05/05/2020,1146,93667
overview,United Kingdom,K02000001,06/05/2020,1206,94873
overview,United Kingdom,K02000001,07/05/2020,1165,96038
overview,United Kingdom,K02000001,08/05/2020,910,96948
overview,United Kingdom,K02000001,09/05/2020,943,97891
overview,United Kingdom,K02000001,10/05/2020,915,98806
overview,United Kingdom,K02000001,11/05/2020,1029,99835
overview,United Kingdom,K02000001,12/05/2020,983,100818
overview,United Kingdom,K02000001,13/05/2020,966,101784
overview,United Kingdom,K02000001,14/05/2020,909,102693
overview,United Kingdom,K02000001,15/05/2020,870,103563
overview,United Kingdom,K02000001,16/05/2020,813,104376
overview,United Kingdom,K02000001,17/05/2020,792,105168
overview,United Kingdom,K02000001,18/05/2020,848,106016
overview,United Kingdom,K02000001,19/05/2020,881,106897
overview,United Kingdom,K02000001,20/05/2020,851,107748
overview,United Kingdom,K02000001,21/05/2020,842,108590
overview,United Kingdom,K02000001,22/05/2020,739,109329
overview,United Kingdom,K02000001,23/05/2020,643,109972
overview,United Kingdom,K02000001,24/05/2020,587,110559
overview,United Kingdom,K02000001,25/05/2020,602,111161
overview,United Kingdom,K02000001,26/05/2020,698,111859
overview,United Kingdom,K02000001,27/05/2020,712,112571
overview,United Kingdom,K02000001,28/05/2020,702,113273
overview,United Kingdom,K02000001,29/05/2020,614,113887
overview,United Kingdom,K02000001,30/05/2020,568,114455
overview,United Kingdom,K02000001,31/05/2020,528,114983
overview,United Kingdom,K02000001,01/06/2020,605,115588
overview,United Kingdom,K02000001,02/06/2020,668,116256
overview,United Kingdom,K02000001,03/06/2020,633,116889
overview,United Kingdom,K02000001,04/06/2020,565,117454
overview,United Kingdom,K02000001,05/06/2020,475,117929
overview,United Kingdom,K02000001,06/06/2020,406,118335
overview,United Kingdom,K02000001,07/06/2020,407,118742
overview,United Kingdom,K02000001,08/06/2020,412,119154
overview,United Kingdom,K02000001,09/06/2020,492,119646
overview,United Kingdom,K02000001,10/06/2020,512,120158
overview,United Kingdom,K02000001,11/06/2020,446,120604
overview,United Kingdom,K02000001,12/06/2020,392,120996
overview,United Kingdom,K02000001,13/06/2020,385,121381
overview,United Kingdom,K02000001,14/06/2020,364,121745
overview,United Kingdom,K02000001,15/06/2020,440,122185
overview,United Kingdom,K02000001,16/06/2020,455,122640
overview,United Kingdom,K02000001,17/06/2020,432,123072
overview,United Kingdom,K02000001,18/06/2020,403,123475
overview,United Kingdom,K02000001,19/06/2020,336,123811
overview,United Kingdom,K02000001,20/06/2020,257,124068
overview,United Kingdom,K02000001,21/06/2020,288,124356
overview,United Kingdom,K02000001,22/06/2020,394,124750
overview,United Kingdom,K02000001,23/06/2020,363,125113
overview,United Kingdom,K02000001,24/06/2020,368,125481
overview,United Kingdom,K02000001,25/06/2020,324,125805
overview,United Kingdom,K02000001,26/06/2020,340,126145
overview,United Kingdom,K02000001,27/06/2020,287,126432
overview,United Kingdom,K02000001,28/06/2020,208,126640
overview,United Kingdom,K02000001,29/06/2020,220,126860
overview,United Kingdom,K02000001,30/06/2020,295,127155
overview,United Kingdom,K02000001,01/07/2020,269,127424
overview,United Kingdom,K02000001,02/07/2020,217,127641
overview,United Kingdom,K02000001,03/07/2020,214,127855
overview,United Kingdom,K02000001,04/07/2020,202,128057
overview,United Kingdom,K02000001,05/07/2020,196,128253
overview,United Kingdom,K02000001,06/07/2020,204,128457
overview,United Kingdom,K02000001,07/07/2020,214,128671
overview,United Kingdom,K02000001,08/07/2020,208,128879
overview,United Kingdom,K02000001,09/07/2020,213,129092
overview,United Kingdom,K02000001,10/07/2020,176,129268
overview,United Kingdom,K02000001,11/07/2020,177,129445
overview,United Kingdom,K02000001,12/07/2020,114,129559
overview,United Kingdom,K02000001,13/07/2020,189,129748
overview,United Kingdom,K02000001,14/07/2020,185,129933
overview,United Kingdom,K02000001,15/07/2020,166,130099
overview,United Kingdom,K02000001,16/07/2020,166,130265
overview,United Kingdom,K02000001,17/07/2020,144,130409
overview,United Kingdom,K02000001,18/07/2020,105,130514
overview,United Kingdom,K02000001,19/07/2020,126,130640
overview,United Kingdom,K02000001,20/07/2020,130,130770
overview,United Kingdom,K02000001,21/07/2020,126,130896
overview,United Kingdom,K02000001,22/07/2020,158,131054
overview,United Kingdom,K02000001,23/07/2020,200,131254
overview,United Kingdom,K02000001,24/07/2020,158,131412
overview,United Kingdom,K02000001,25/07/2020,120,131532
overview,United Kingdom,K02000001,26/07/2020,109,131641
overview,United Kingdom,K02000001,27/07/2020,130,131771
overview,United Kingdom,K02000001,28/07/2020,119,131890
overview,United Kingdom,K02000001,29/07/2020,132,132022
overview,United Kingdom,K02000001,30/07/2020,132,132154
overview,United Kingdom,K02000001,31/07/2020,114,132268
overview,United Kingdom,K02000001,01/08/2020,128,132396
overview,United Kingdom,K02000001,02/08/2020,93,132489
overview,United Kingdom,K02000001,03/08/2020,110,132599
overview,United Kingdom,K02000001,04/08/2020,127,132726
overview,United Kingdom,K02000001,05/08/2020,140,132866
overview,United Kingdom,K02000001,06/08/2020,101,132967
overview,United Kingdom,K02000001,07/08/2020,117,133084
overview,United Kingdom,K02000001,08/08/2020,141,133225
overview,United Kingdom,K02000001,09/08/2020,106,133331
overview,United Kingdom,K02000001,10/08/2020,86,133417
overview,United Kingdom,K02000001,11/08/2020,114,133531
overview,United Kingdom,K02000001,12/08/2020,101,133632
